YearMonth,Company,Brands,shop,shipping_country,has_coupon,campaign_type_clean,orders,net_revenue_gbp,order_total_gbp,refund_gbp,avg_discount_rate,aov_gbp,refund_rate
2021-11,Wolfson Brands (UK),NooCube,NooCube USA,US,False,No coupon,1,41.64714131495,90.790768066591,45.3953840332955,0.0,41.64714131495,0.5
2021-11,Wolfson Brands (UK),TestoPrime,TestoPrime USA,US,False,No coupon,1,41.69495663218874,90.790768066591,45.3953840332955,0.0,41.69495663218874,0.5
2021-12,Muscle & Health,Muscle & Health,Muscle & Health Shop,US,False,No coupon,1,5.447579618557884,6.046159667045025,0.0,0.0,5.447579618557884,0.0
2021-12,Smart Protein Ltd,Smart Protein UK,Smart Protein UK,GB,False,No coupon,3,67.76666666666667,81.32,0.0,0.0,22.58888888888889,0.0
2021-12,Supplement Shippers LLC,SupplementShippers,SupplementShippers,US,False,No coupon,1,250.27127142915015,274.6727203934923,0.0,0.0,250.27127142915015,0.0
2021-12,Supplement Shippers LLC,SupplementShippers,SupplementShippers,US,True,No coupon,19,1532.6393222247464,1629.769201664775,0.0,0.0,80.66522748551297,0.0
2021-12,Wolfson Brands (UK),AirSnore,AirSnore,US,False,No coupon,3,160.3437410007947,173.9311388573591,0.0,0.0,53.44791366693156,0.0
2021-12,Wolfson Brands (UK),AirSnore,AirSnore,US,True,No coupon,1,54.45327279606508,54.45327279606508,0.0,0.0,54.45327279606508,0.0
2021-12,Wolfson Brands (UK),BattleReadyFuel,BattleReadyFuel Shopify,GB,False,No coupon,2,374.80833333333334,449.77000000000004,0.0,0.0,187.40416666666667,0.0
2021-12,Wolfson Brands (UK),BattleReadyFuel,BattleReadyFuel Shopify,GB,True,No coupon,8,239.11666666666667,306.93,19.99,0.0,29.889583333333334,0.06512885674257973
2021-12,Wolfson Brands (UK),Bauer,Bauer Shopify FR,CA,True,No coupon,1,76.5432098765432,76.5432098765432,0.0,0.0,76.5432098765432,0.0
2021-12,Wolfson Brands (UK),Bauer,Bauer Shopify IT,IT,True,No coupon,2,115.94875962692052,127.54363558961259,0.0,0.0,57.97437981346026,0.0
2021-12,Wolfson Brands (UK),Bauer,Bauer Shopify UK,GB,False,No coupon,3,99.83333333333331,119.8,0.0,0.0,33.27777777777777,0.0
2021-12,Wolfson Brands (UK),Bauer,Bauer Shopify UK,GB,True,No coupon,1,58.25000000000001,69.9,0.0,0.0,58.25000000000001,0.0
2021-12,Wolfson Brands (UK),Bauer,Bauer Shopify USA,US,False,No coupon,23,1804.127986411102,1940.6205069996215,0.0,0.0,78.4403472352653,0.0
2021-12,Wolfson Brands (UK),Bauer,Bauer Shopify USA,US,True,No coupon,4,259.58905311971495,278.3654937570942,0.0,0.0,64.89726327992874,0.0
2021-12,Wolfson Brands (UK),Crazy Nutrition,Crazy Nutrition US,US,False,No coupon,10,412.1063801405249,443.96519107075295,0.0,0.0,41.21063801405249,0.0
2021-12,Wolfson Brands (UK),Crazy Nutrition,Crazy Nutrition US,US,True,No coupon,5,126.16820104293438,179.62164207340143,45.90238365493757,0.0,25.233640208586877,0.25555040653831573
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk,CA,True,No coupon,1,73.08097972577055,73.08097972577055,0.0,0.0,73.08097972577055,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk,ES,False,No coupon,1,77.32497387669801,85.05747126436782,0.0,0.0,77.32497387669801,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk,ES,True,NEW YEAR,1,58.03630171446263,63.8399318859089,0.0,0.3,58.03630171446263,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk,ES,True,No coupon,13,1323.7663996284684,1456.1430395913153,0.0,0.0,101.82818458680526,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk,FR,True,No coupon,1,64.49855640899929,68.04597701149424,0.0,0.0,64.49855640899929,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk,GR,False,No coupon,1,45.08301404853129,45.08301404853129,0.0,0.0,45.08301404853129,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk,GR,True,No coupon,1,72.13282247765005,72.13282247765005,0.0,0.0,72.13282247765005,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk,HU,True,No coupon,1,160.84579465880938,204.27415921668796,0.0,0.0,160.84579465880938,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk,IE,False,No coupon,1,72.68047226219312,92.30419977298526,0.0,0.0,72.68047226219312,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk,IE,True,No coupon,1,88.17825127137202,111.98637911464246,0.0,0.0,88.17825127137202,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk,IT,False,No coupon,2,118.3714540036379,130.2085994040017,0.0,0.0,59.18572700181895,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk,IT,True,NEW YEAR,4,513.8201942799643,565.2022137079607,0.0,0.3,128.45504856999108,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk,IT,True,No coupon,9,792.1978404737024,871.4176245210728,0.0,0.0,88.02198227485582,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk,NL,True,No coupon,1,31.21375092270378,34.02298850574712,0.0,0.0,31.21375092270378,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk,US,True,No coupon,1,69.49173918526928,75.05107832009082,0.0,0.0,69.49173918526928,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk AUS,AU,True,NEW YEAR,5,331.35363989180286,364.4890038809832,0.0,0.3,66.27072797836057,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk AUS,AU,True,No coupon,18,1635.3786898741619,1798.9165588615783,0.0,0.0,90.85437165967566,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk AUS,NZ,True,NEW YEAR,1,88.92841742130229,88.92841742130229,0.0,0.3,88.92841742130229,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk AUS,NZ,True,No coupon,1,138.5025873221216,138.5025873221216,0.0,0.0,138.5025873221216,0.0
2021-12,Wolfson Brands (UK),CrazyBulk,CrazyBulk CA,CA,True,NEW YEAR,3,273.0223836868628,273.0223836868628,0.0,0.3,91.00746122895426,0.0
