column,n_non_null,p01,q1,median,q3,p99,min,max,iqr,iqr_lower,iqr_upper,n_outliers_iqr,pct_outliers_iqr,mean_raw,mean_without_outliers
VAT Rate,1008628,0.0,0.0699999999999999,0.08875,0.1,0.2,0.0,0.27,0.03000000000000011,0.02499999999999973,0.14500000000000018,256790,25.459336841729556,0.08593792240548546,0.08768660908333975
Repeat Oders Qty,220376,2.0,2.0,3.0,5.0,19.0,2.0,175.0,3.0,-2.5,9.5,13917,6.31511598359168,4.117385740734019,3.3717784160535507
Discount (%),1008628,0.0,0.0,0.0,0.0,35.0,0.0,60.0,0.0,0.0,0.0,63086,6.254635009141131,1.4779690827539984,0.0
Discount_rate,1008628,0.0,0.0,0.0,0.0,0.35,0.0,0.6,0.0,0.0,0.0,63086,6.254635009141131,0.014779690827539986,0.0
postage revenue (GBP),633666,0.0,0.0,0.0,0.0,6.39,0.0,50.32,0.0,0.0,0.0,35695,5.6330937749539975,0.34060831731543095,0.0
postage revenue,633666,0.0,0.0,0.0,0.0,7.99,0.0,61.0,0.0,0.0,0.0,35695,5.6330937749539975,0.4286263268030794,0.0
order subtotal,633666,37.71,69.99,112.0,139.99,386.95699999999954,0.0,67198.0,70.00000000000001,-35.01000000000003,244.99000000000004,31738,5.008632307871971,140.4416077081617,109.01344881779879
Sales Tax (GBP),1008628,0.0,3.5727906976744137,6.027973709307222,9.17575895908871,27.0,0.0,656.5355002243159,5.602968261414297,-4.831661694447032,17.580211351210156,46071,4.567689970930809,6.919488980448246,6.100848063886473
Sales tax less refund (GBP),1008628,0.0,3.3959092354901728,5.833333333333332,9.131366245694608,26.664999999999992,-108.8828571428572,656.5355002243159,5.735457010204435,-5.20727627981648,17.73455176100126,44060,4.368310219426786,6.7414395226329535,5.952683598371553
order_total,1008628,35.99,64.99,108.0,139.99,369.98,0.0,67198.0,75.00000000000001,-47.51000000000003,252.49000000000004,40485,4.013868343928585,129.46593844311286,107.57659594708636
order subtotal (GBP),633666,30.04,53.1,87.86,111.93,286.93,0.0,6390.47,58.830000000000005,-35.145,200.175,23207,3.662339465901595,92.75985765371658,86.13939920617108
Gross Sale (GBP),1008628,30.19296254256527,52.44,85.73,111.19936457505958,275.04729999999984,0.0,6390.47,58.75936457505958,-35.69904686258937,199.33841143764894,33724,3.343551834769608,90.86129610544937,84.8561817055308
Order Total (GBP),1008628,30.19296254256527,52.44,85.73,111.19936457505958,275.04729999999984,0.0,6390.47,58.75936457505958,-35.69904686258937,199.33841143764894,33724,3.343551834769608,90.86129610544937,84.8561817055308
Net Sale (GBP),1008628,27.669750326161388,48.41138659320477,79.1798389721088,103.13285631405918,254.56755499872355,0.0,5733.934499775684,54.721469720854415,-33.67081798807685,185.2150608953408,33521,3.3234254849161435,83.94180712500109,78.37536052908791
Gross Sale less refund (GBP),1008628,0.0,51.513366227262686,83.46,110.42,271.78729999999985,-3910.27,6390.47,58.906633772737315,-36.84658443184329,198.77995065910596,33092,3.280892459856359,88.4056163296328,82.55051572586454
Net sale less refund (GBP),1008628,0.0,47.531572904707225,77.1193559746844,102.35433070866142,251.80616977302068,-3910.27,5733.934499775684,54.8227578039542,-34.702563801224066,184.5884674145927,32860,3.257890917166686,81.66417680699985,76.24172982407802
net_revenue_gbp,1008628,0.0,47.531572904707225,77.1193559746844,102.35433070866142,251.80616977302068,-3910.27,5733.934499775684,54.8227578039542,-34.702563801224066,184.5884674145927,32860,3.257890917166686,81.66417680699985,76.24172982407802
Net Refund (GBP),1008628,0.0,0.0,0.0,0.0,92.78187852680725,0.0,3957.78,0.0,0.0,0.0,27542,2.730640037754256,2.2776303180012594,0.0
Gross Refund (GBP),1008628,0.0,0.0,0.0,0.0,100.3772999999998,0.0,3957.78,0.0,0.0,0.0,27542,2.730640037754256,2.455679775816546,0.0
Refund (GBP),1008628,0.0,0.0,0.0,0.0,100.3772999999998,0.0,3957.78,0.0,0.0,0.0,27542,2.730640037754256,2.455679775816546,0.0
refunded_amount,1008628,0.0,0.0,0.0,0.0,126.0,0.0,33599.0,0.0,0.0,0.0,27542,2.730640037754256,3.3325987678311537,0.0
Refund Sales Tax (GBP),1008628,0.0,0.0,0.0,0.0,7.47895177584911,0.0,117.29892857142865,0.0,0.0,0.0,22516,2.2323393758650365,0.1780494578152876,0.0
Exchange Rate,1008628,0.5153563601568046,0.790952380952381,0.8253042173695615,1.1996,1.7619,0.0048037244736006,12.493,0.40864761904761904,0.17798095238095246,1.8125714285714285,4409,0.4371284556843553,0.9664238943970447,0.9638158135359458
shipper_id,1008628,13.0,13.0,64.0,71.0,79.0,13.0,83.0,58.0,-74.0,158.0,0,0.0,44.131230741165226,44.131230741165226
