Customer_ID,last_order_date,frequency,monetary,recency_days,R_score,F_score,M_score,RFM_Score,RFM_Segment,kmeans_cluster
K4B 1H9_CA,2023-05-22,3,2007.33,590,2,4,5,245,At Risk,0
82223_US,2023-09-05,4,1691.3000000000002,484,2,5,5,255,At Risk,0
5019_NZ,2023-07-24,6,1232.38,527,2,5,5,255,At Risk,0
37322_US,2023-09-02,13,1180.0637813211847,487,2,5,5,255,At Risk,0
CW1 3TY_GB,2023-08-06,7,1127.425,514,2,5,5,255,At Risk,0
11801-3650_US,2023-06-17,9,1116.133180252583,564,2,5,5,255,At Risk,0
18509_US,2023-09-05,13,1093.7592592592591,484,2,5,5,255,At Risk,0
4359_US,2023-07-10,6,1088.23,541,2,5,5,255,At Risk,0
15424_US,2023-09-02,4,1000.4074074074073,487,2,4,5,245,At Risk,0
40444_US,2023-08-22,10,981.4056603773585,498,2,5,5,255,At Risk,0
34287-2726_US,2023-06-24,7,973.8525345622121,557,2,5,5,255,At Risk,0
76821_US,2023-08-28,9,960.4711316397229,492,2,5,5,255,At Risk,0
T5P 3T5_CA,2023-04-22,5,926.9300000000001,620,1,5,5,155,At Risk,0
1506_US,2023-07-16,5,906.0611764705883,535,2,5,5,255,At Risk,0
18092_US,2023-07-22,9,903.074074074074,529,2,5,5,255,At Risk,0
9300_NZ,2023-08-17,7,892.9300000000001,503,2,5,5,255,At Risk,0
99687_US,2023-07-18,8,881.12,533,2,5,5,255,At Risk,0
53200_MY,2023-08-04,5,871.12,516,2,5,5,255,At Risk,0
90212_US,2023-09-04,10,867.125284738041,485,2,5,5,255,At Risk,0
V1Y 7K5_CA,2023-08-30,7,853.15,490,2,5,5,255,At Risk,0
95988_US,2023-08-14,9,850.4145785876995,506,2,5,5,255,At Risk,0
48144_US,2023-08-26,12,839.7264150943396,494,2,5,5,255,At Risk,0
68787_US,2023-09-02,10,832.94,487,2,5,5,255,At Risk,0
47246_US,2023-08-23,7,832.0093457943924,497,2,5,5,255,At Risk,0
T23 X7T8_IE,2023-07-13,5,830.9763779527559,538,2,5,5,255,At Risk,0
59875_US,2023-09-01,6,822.76,488,2,5,5,255,At Risk,0
K4A 1E6_CA,2023-08-30,3,820.65,490,2,4,5,245,At Risk,0
26757_US,2023-08-22,10,817.96,498,2,5,5,255,At Risk,0
