antecedent,consequent,pair_order_count,support,confidence,lift
AS2376P2,AS1114P2,376,0.00037278362290160493,0.5046979865771812,508.03644790955
AS1114P2,AS2376P2,376,0.00037278362290160493,0.37524950099800397,508.03644790955
AS2376P2,AS1185P2,386,0.0003826980809574987,0.5181208053691275,423.4936399334298
AS1185P2,AS2376P2,386,0.0003826980809574987,0.31280388978930307,423.4936399334298
AS1114P2,AS1185P2,501,0.0004967143486002768,0.5,408.68233387358185
AS1185P2,AS1114P2,501,0.0004967143486002768,0.4059967585089141,408.68233387358185
CNPTGAFLYER,CNTPSCFLYER,3453,0.0034234623667001116,1.0,291.8483796296296
CNTPSCFLYER,CNPTGAFLYER,3453,0.0034234623667001116,0.9991319444444444,291.8483796296296
CB0520P1,CNPACKLETTER,596,0.0005909017001312674,0.570334928229665,273.15089173334786
CNPACKLETTER,CB0520P1,596,0.0005909017001312674,0.28300094966761635,273.15089173334786
CB0537P1,CNPACKLETTER,406,0.0004025269970692862,0.5024752475247525,240.6508090980038
CNPACKLETTER,CB0537P1,406,0.0004025269970692862,0.19278252611585944,240.6508090980038
CNTPVFLYER,CNTPSCFLYER,1723,0.001708261123030493,0.6673121611154144,194.75397292868004
CNTPSCFLYER,CNTPVFLYER,1723,0.001708261123030493,0.49855324074074076,194.75397292868004
CNTPVFLYER,CNPTGAFLYER,1721,0.0017062782314193141,0.6665375677769171,194.69691685829608
CNPTGAFLYER,CNTPVFLYER,1721,0.0017062782314193141,0.4984071821604402,194.69691685829608
CB0513P1,CNPACKLETTER,384,0.00038071518934631993,0.378698224852071,181.37019617098514
CNPACKLETTER,CB0513P1,384,0.00038071518934631993,0.18233618233618235,181.37019617098514
YB-GUIDES,WB2394P5,202,0.00020027205272905372,0.2586427656850192,108.60713383320132
WB2394P5,YB-GUIDES,202,0.00020027205272905372,0.08409658617818484,108.60713383320132
P8-GUIDES,WB2590P1,1122,0.0011124021938712786,0.4034519956850054,99.27615991797404
WB2590P1,P8-GUIDES,1122,0.0011124021938712786,0.2737252988533789,99.27615991797404
WB1406P1,WB1450P1,207,0.0002052292817570006,0.2,98.11556420233462
WB1450P1,WB1406P1,207,0.0002052292817570006,0.10068093385214008,98.11556420233462
AS6385P2,DB-GUIDES,6822,0.006763643285730716,0.9960578186596584,84.58088950320372
DB-GUIDES,AS6385P2,6822,0.006763643285730716,0.5743391143290116,84.58088950320372
AS6385P6,DB-GUIDES,4578,0.0045388388979881586,0.9872762562001294,83.83519748599294
DB-GUIDES,AS6385P6,4578,0.0045388388979881586,0.38541842060953024,83.83519748599294
AS6385P12,DB-GUIDES,810,0.0008030711025273936,0.9688995215311005,82.27472525701893
DB-GUIDES,AS6385P12,810,0.0008030711025273936,0.06819329853510692,82.27472525701893
CB2417P1,CB2415P1,296,0.00029346795845445496,0.328159645232816,78.564207607853
CB2415P1,CB2417P1,296,0.00029346795845445496,0.07025872300023736,78.564207607853
TPGIFTCARD,WS1268BF4,315,0.0003123054287606531,0.5909943714821764,75.83886398464689
WS1268BF4,TPGIFTCARD,315,0.0003123054287606531,0.04007633587786259,75.83886398464689
CB2643M8,AS6384M4,410,0.0004064927802916437,0.8167330677290837,59.819899835701854
AS6384M4,CB2643M8,410,0.0004064927802916437,0.029772710769007334,59.819899835701854
NC-GUIDES,WB2591P1,773,0.0007663876077205867,0.25896147403685094,58.894203750809666
WB2591P1,NC-GUIDES,773,0.0007663876077205867,0.17429537767756484,58.894203750809666
CN2388P1,CNPTGAFLYER,323,0.0003202369952053681,0.20074580484773152,58.63823911148501
CNPTGAFLYER,CN2388P1,323,0.0003202369952053681,0.09354184766869389,58.63823911148501
