sku,orders_with_sku,revenue_alloc_gbp
PQ-GUIDES,305130,11585976.059324684
CB-GUIDES,232792,8763229.914557926
AS6269P3,153563,7538938.9033411555
AS6269P1,86756,2267591.11547889
WS1324P3,73554,6078180.990831468
WB2466P1,65056,1796454.7504547078
WS1268P1,46549,2079256.1335367023
AS6488P1,43638,1249845.207764243
WB4957P5,21432,1556372.1752029597
NC4532P3,20993,1562592.722219173
AS6486P1,20089,551372.0831369886
WB2464P3,18372,1145146.652706883
NC4532P1,17072,685479.8504555238
AS6490P1,16799,462876.78414515924
WS1325P5,16333,1861412.5431002558
AS6352M4,15978,996974.3360016042
MH-MAGWIN21,14678,525500.1550282252
AS1185P1,14332,317313.13909022906
AS6384M4,13771,856054.6890489936
AS1114P1,13370,281129.19086421834
WS1325P6,13140,1492093.1278580464
AS6495P1,13055,411372.57053098077
AS6492P1,12826,376619.31657103717
AS6493P1,12728,391737.0590699353
WS1267P3,12585,1056716.3653925306
protect,12195,354621.1795858716
DB-GUIDES,11878,395111.48663378303
AS2376P1,11098,228034.7728056715
WB2460P1,10838,499188.57160326623
WB2460P3,10750,938536.8333530027
CBLOYALFLYER,10228,243979.86542253505
TP-GUIDES,10215,403872.00539843313
WB2464P1,9719,338619.06086346926
AS6488P3,9142,410075.379069933
WS1267P1,8845,412983.1102975917
AS6269BF2,8800,466072.41558295203
CB2584P1,8119,242357.898812185
AS6493P3,7927,378628.8002224794
WS1268BF4,7860,623478.0578553181
WB2394P3,7777,668835.3220469313
AS5123M6,7474,457556.04085741244
CB2586P1,7285,206222.58158039267
AS6385P2,6849,156595.2662282398
AS6569M6,6579,609519.4815387374
AS6269BF4,6199,512629.2552991846
AC6199P1,6123,194582.5438084336
AS6494P1,6041,170939.84691479785
CB2416P1,5916,175180.2683618971
NC4532P5,5799,596677.6966311244
CB2739P1,5320,210584.86920770703
WS1268BF2,5061,234495.60863451724
WB2618P1,5055,187316.1964244011
AS1373P1,4908,135514.2388758356
AS6492P3,4834,217285.76617467796
AS4996M2,4730,230967.39761749897
AS6385P6,4637,208184.23585084928
WS5399M3,4589,222015.03597237423
WB2591P1,4435,187835.96351082306
AS6495P3,4357,198843.3242490082
WS1268BF6,4265,460635.39837068133
CB2415P1,4213,122889.90587980334
WB2590P1,4099,175182.02829721005
AS6487P1,4050,116723.4130829472
WB2592P1,4034,186226.89074899172
CB2608P1,3983,152032.8949676406
CB2418P1,3910,109368.93867725914
AS4997M5,3759,289696.7456112345
CB2585P1,3730,124882.23660213163
NC4532P6,3704,379040.70503473945
AS4919M6,3578,337347.88053408155
CNTPSCFLYER,3456,53229.20125337783
CNPTGAFLYER,3453,53214.68670615606
AS6485P1,3382,92913.36748220361
CN2515P1,3326,160449.75131617382
